sp_id		gq_type	stcotrbg	persons	latitude	longitude
450000056	N	120730009013	118	30.4568746	-84.2411984
450000057	N	120730025053	108	30.4775362	-84.2070155
450000107	C	120730004002	704	30.4261800	-84.2890180
450000108	C	120730013003	3431	30.4432220	-84.3015540
450004087	C	120730002003	5	30.4405974	-84.2798698
450004088	C	120730004001	763	30.4269191	-84.2815437
450004089	C	120730005001	230	30.4375249	-84.2958410
450004090	C	120730005002	546	30.4385320	-84.2881002
450004091	C	120730011013	678	30.4168994	-84.2882772
450004092	C	120730013002	1726	30.4430315	-84.2961553
450004093	C	120730013001	1392	30.4416262	-84.2926281
450004094	C	120730014012	394	30.4508687	-84.3024012
450004095	C	120730019021	1	30.4040955	-84.3312661
450004096	C	120730020051	254	30.4447977	-84.3085893
450005880	P	120730019022	27	30.4158515	-84.3381384
450005881	P	120730019011	43	30.4099355	-84.3053084
450005882	P	120730019011	44	30.4085156	-84.3061303
450005883	P	120730020031	802	30.4374038	-84.3353488
450005884	P	120730025093	968	30.4450765	-84.2235391
450014286	P	120730019022	15	30.4259614	-84.3446787
450014287	P	120730020031	119	30.4451835	-84.3436839
450014288	P	120730021043	3	30.4514568	-84.3296499
450014289	P	120730025084	24	30.4953712	-84.1432674
450014290	P	120730025093	70	30.4456885	-84.2217946
450014291	P	120730025131	8	30.4506027	-84.1540439
450014292	P	120730025131	15	30.4506027	-84.1540439
450014293	P	120730026042	38	30.2884981	-84.2102822
450014294	P	120730026042	17	30.2884981	-84.2102822
450014295	P	120730026042	7	30.2884981	-84.2102822
450014296	P	120730026042	1	30.2884981	-84.2102822
450033310	N	120730009012	66	30.4718489	-84.2356393
450033311	N	120730009012	63	30.4760773	-84.2406892
450033312	N	120730014011	115	30.4568797	-84.3003329
450033313	N	120730025051	101	30.4787047	-84.2203374
450033314	N	120730025051	101	30.4735190	-84.2276193
450039216	N	120730025051	94	30.4758441	-84.2246407
450040654	N	120730022071	80	30.4861904	-84.3147361
450042735	N	120730020031	60	30.4451835	-84.3436839
